Time[ms];pwmL[us];curL[mA];volL[mV];pwmR[us];curR[mA];volR[mV];strini[uint10]
22184;0;0;0;0;0;0;0
22239;0;0;0;0;0;0;0
22292;0;0;0;0;0;0;0
22346;0;0;0;0;0;0;0
22400;0;0;0;0;0;0;0
22454;0;0;0;0;0;0;0
22507;0;0;0;0;0;0;0
22561;0;0;0;0;0;0;0
22615;0;0;0;0;0;0;0
22669;0;0;0;0;0;0;0
22722;0;0;0;0;0;0;0
22776;0;0;0;0;0;0;0
22830;0;0;0;0;0;0;0
22884;0;0;0;0;0;0;0
22937;0;0;0;0;0;0;0
22991;0;0;0;0;0;0;0
23045;0;0;0;0;0;0;0
23099;0;0;0;0;0;0;0
23152;0;0;0;0;0;0;0
23206;0;0;0;0;0;0;0
23260;0;0;0;0;0;0;0
23314;0;0;0;0;0;0;0
23367;0;0;0;0;0;0;0
23424;0;0;0;0;0;0;0
23478;0;0;0;0;0;0;0
23531;0;0;0;0;0;0;0
23585;0;0;0;0;0;0;0
23639;0;0;0;0;0;0;0
23692;0;0;0;0;0;0;0
23746;0;0;0;0;0;0;0
23799;0;0;0;0;0;0;0
23854;0;0;0;0;0;0;0
23907;0;0;0;0;0;0;0
23961;0;0;0;0;0;0;0
24014;0;0;0;0;0;0;0
24069;0;0;0;0;0;0;0
24122;0;0;0;0;0;0;0
24176;0;0;0;0;0;0;0
24229;0;0;0;0;0;0;0
24284;0;0;0;0;0;0;0
24337;0;0;0;0;0;0;0
24391;0;0;0;0;0;0;0
24444;0;0;0;0;0;0;0
24499;0;0;0;0;0;0;0
24552;0;0;0;0;0;0;0
24606;0;0;0;0;0;0;0
24659;0;0;0;0;0;0;0
24716;0;0;0;0;0;0;0
24770;0;0;0;0;0;0;0
24823;0;0;0;0;0;0;0
24878;0;0;0;0;0;0;0
24931;0;0;0;0;0;0;0
24985;0;0;0;0;0;0;0
25038;0;0;0;0;0;0;0
25093;0;0;0;0;0;0;0
25146;0;0;0;0;0;0;0
25200;0;0;0;0;0;0;0
25253;0;0;0;0;0;0;0
25307;0;0;0;0;0;0;0
25361;0;0;0;0;0;0;0
25414;0;0;0;0;0;0;0
25468;0;0;0;0;0;0;0
25522;0;0;0;0;0;0;0
25576;0;0;0;0;0;0;0
25629;0;0;0;0;0;0;0
25683;0;0;0;0;0;0;0
25737;0;0;0;0;0;0;0
25791;0;0;0;0;0;0;0
25844;0;0;0;0;0;0;0
25899;0;0;0;0;0;0;0
25952;0;0;0;0;0;0;0
26008;0;0;0;0;0;0;0
26062;0;0;0;0;0;0;0
26116;0;0;0;0;0;0;0
26170;0;0;0;0;0;0;0
26223;0;0;0;0;0;0;0
26277;0;0;0;0;0;0;0
26331;0;0;0;0;0;0;0
26385;0;0;0;0;0;0;0
26438;0;0;0;0;0;0;0
26492;0;0;0;0;0;0;0
26546;0;0;0;0;0;0;0
26599;0;0;0;0;0;0;0
26653;0;0;0;0;0;0;0
26714;0;0;0;0;0;0;0
26771;0;0;0;0;0;0;0
26825;0;0;0;0;0;0;0
26878;0;0;0;0;0;0;0
26933;0;0;0;0;0;0;0
26986;0;0;0;0;0;0;0
27040;0;0;0;0;0;0;0
27094;0;0;0;0;0;0;0
27148;0;0;0;0;0;0;0
27201;0;0;0;0;0;0;0
27255;0;0;0;0;0;0;0
27309;0;0;0;0;0;0;0
27365;0;0;0;0;0;0;0
27419;0;0;0;0;0;0;0
27472;0;0;0;0;0;0;0
27527;0;0;0;0;0;0;0
27580;0;0;0;0;0;0;0
27634;0;0;0;0;0;0;0
27687;0;0;0;0;0;0;0
27742;0;0;0;0;0;0;0
27795;0;0;0;0;0;0;0
27849;0;0;0;0;0;0;0
27902;0;0;0;0;0;0;0
27957;0;0;0;0;0;0;0
28010;0;0;0;0;0;0;0
28064;0;0;0;0;0;0;0
28118;0;0;0;0;0;0;0
28171;0;0;0;0;0;0;0
28225;0;0;0;0;0;0;0
28278;0;0;0;0;0;0;0
28333;0;0;0;0;0;0;0
28386;0;0;0;0;0;0;0
28440;0;0;0;0;0;0;0
28493;0;0;0;0;0;0;0
28548;0;0;0;0;0;0;0
28601;0;0;0;0;0;0;0
28657;0;0;0;0;0;0;0
28711;0;0;0;0;0;0;0
28765;0;0;0;0;0;0;0
28819;0;0;0;0;0;0;0
28872;0;0;0;0;0;0;0
28926;0;0;0;0;0;0;0
28980;0;0;0;0;0;0;0
29034;0;0;0;0;0;0;0
29087;0;0;0;0;0;0;0
29142;0;0;0;0;0;0;0
29195;0;0;0;0;0;0;0
29249;0;0;0;0;0;0;0
29302;0;0;0;0;0;0;0
29357;0;0;0;0;0;0;0
29410;0;0;0;0;0;0;0
29464;0;0;0;0;0;0;0
29517;0;0;0;0;0;0;0
29572;0;0;0;0;0;0;0
29625;0;0;0;0;0;0;0
29679;0;0;0;0;0;0;0
29732;0;0;0;0;0;0;0
29787;0;0;0;0;0;0;0
29840;0;0;0;0;0;0;0
29894;0;0;0;0;0;0;0
29947;0;0;0;0;0;0;0
30004;0;0;0;0;0;0;0
30058;0;0;0;0;0;0;0
30111;0;0;0;0;0;0;0
30166;0;0;0;0;0;0;0
30219;0;0;0;0;0;0;0
30273;0;0;0;0;0;0;0
30326;0;0;0;0;0;0;0
30380;0;0;0;0;0;0;0
30434;0;0;0;0;0;0;0
30487;0;0;0;0;0;0;0
30541;0;0;0;0;0;0;0
30595;0;0;0;0;0;0;0
30649;0;0;0;0;0;0;0
30702;0;0;0;0;0;0;0
30756;0;0;0;0;0;0;0
30810;0;0;0;0;0;0;0
30864;0;0;0;0;0;0;0
30917;0;0;0;0;0;0;0
30971;0;0;0;0;0;0;0
31025;0;0;0;0;0;0;0
31079;0;0;0;0;0;0;0
31132;0;0;0;0;0;0;0
31186;0;0;0;0;0;0;0
31240;0;0;0;0;0;0;0
31296;0;0;0;0;0;0;0
31350;0;0;0;0;0;0;0
31404;0;0;0;0;0;0;0
31458;0;0;0;0;0;0;0
31511;0;0;0;0;0;0;0
31565;0;0;0;0;0;0;0
31619;0;0;0;0;0;0;0
31673;0;0;0;0;0;0;0
31726;0;0;0;0;0;0;0
31780;0;0;0;0;0;0;0
31834;0;0;0;0;0;0;0
31888;0;0;0;0;0;0;0
31941;0;0;0;0;0;0;0
31995;0;0;0;0;0;0;0
32049;0;0;0;0;0;0;0
32102;0;0;0;0;0;0;0
32163;0;0;0;0;0;0;0
32221;0;0;0;0;0;0;0
32275;0;0;0;0;0;0;0
32328;0;0;0;0;0;0;0
32382;0;0;0;0;0;0;0
32436;0;0;0;0;0;0;0
32490;0;0;0;0;0;0;0
32543;0;0;0;0;0;0;0
32600;0;0;0;0;0;0;0
32654;0;0;0;0;0;0;0
32707;0;0;0;0;0;0;0
32761;0;0;0;0;0;0;0
32815;0;0;0;0;0;0;0
32869;0;0;0;0;0;0;0
32922;0;0;0;0;0;0;0
32976;0;0;0;0;0;0;0
33030;0;0;0;0;0;0;0
33084;0;0;0;0;0;0;0
33137;0;0;0;0;0;0;0
33191;0;0;0;0;0;0;0
33245;0;0;0;0;0;0;0
33298;0;0;0;0;0;0;0
33352;0;0;0;0;0;0;0
33405;0;0;0;0;0;0;0
33460;0;0;0;0;0;0;0
33513;0;0;0;0;0;0;0
33567;0;0;0;0;0;0;0
33620;0;0;0;0;0;0;0
33675;0;0;0;0;0;0;0
33728;0;0;0;0;0;0;0
33782;0;0;0;0;0;0;0
33836;0;0;0;0;0;0;0
33890;0;0;0;0;0;0;0
33946;0;0;0;0;0;0;0
33999;0;0;0;0;0;0;0
34054;0;0;0;0;0;0;0
34107;0;0;0;0;0;0;0
34161;0;0;0;0;0;0;0
34214;0;0;0;0;0;0;0
34269;0;0;0;0;0;0;0
34322;0;0;0;0;0;0;0
34376;0;0;0;0;0;0;0
34429;0;0;0;0;0;0;0
34484;0;0;0;0;0;0;0
34537;0;0;0;0;0;0;0
34591;0;0;0;0;0;0;0
34644;0;0;0;0;0;0;0
34699;0;0;0;0;0;0;0
34752;0;0;0;0;0;0;0
34806;0;0;0;0;0;0;0
34860;0;0;0;0;0;0;0
34913;0;0;0;0;0;0;0
34967;0;0;0;0;0;0;0
35020;0;0;0;0;0;0;0
35075;0;0;0;0;0;0;0
35128;0;0;0;0;0;0;0
35182;0;0;0;0;0;0;0
35238;0;0;0;0;0;0;0
35292;0;0;0;0;0;0;0
35346;0;0;0;0;0;0;0
35399;0;0;0;0;0;0;0
35453;0;0;0;0;0;0;0
35507;0;0;0;0;0;0;0
35561;0;0;0;0;0;0;0
35614;0;0;0;0;0;0;0
35668;0;0;0;0;0;0;0
35722;0;0;0;0;0;0;0
35776;0;0;0;0;0;0;0
35829;0;0;0;0;0;0;0
35884;0;0;0;0;0;0;0
35937;0;0;0;0;0;0;0
35991;0;0;0;0;0;0;0
36044;0;0;0;0;0;0;0
36099;0;0;0;0;0;0;0
36152;0;0;0;0;0;0;0
36206;0;0;0;0;0;0;0
36259;0;0;0;0;0;0;0
36314;0;0;0;0;0;0;0
36367;0;0;0;0;0;0;0
36421;0;0;0;0;0;0;0
36474;0;0;0;0;0;0;0
36531;0;0;0;0;0;0;0
36584;0;0;0;0;0;0;0
36638;0;0;0;0;0;0;0
36691;0;0;0;0;0;0;0
36746;0;0;0;0;0;0;0
36799;0;0;0;0;0;0;0
36853;0;0;0;0;0;0;0
36907;0;0;0;0;0;0;0
36961;0;0;0;0;0;0;0
37014;0;0;0;0;0;0;0
37068;0;0;0;0;0;0;0
37122;0;0;0;0;0;0;0
37176;0;0;0;0;0;0;0
37229;0;0;0;0;0;0;0
37283;0;0;0;0;0;0;0
37337;0;0;0;0;0;0;0
37391;0;0;0;0;0;0;0
37444;0;0;0;0;0;0;0
37498;0;0;0;0;0;0;0
37552;0;0;0;0;0;0;0
37613;0;0;0;0;0;0;0
37670;0;0;0;0;0;0;0
37724;0;0;0;0;0;0;0
37778;0;0;0;0;0;0;0
37831;0;0;0;0;0;0;0
37888;0;0;0;0;0;0;0
37942;0;0;0;0;0;0;0
37995;0;0;0;0;0;0;0
38049;0;0;0;0;0;0;0
38103;0;0;0;0;0;0;0
38157;0;0;0;0;0;0;0
38210;0;0;0;0;0;0;0
38263;0;0;0;0;0;0;0
38318;0;0;0;0;0;0;0
38371;0;0;0;0;0;0;0
38425;0;0;0;0;0;0;0
38478;0;0;0;0;0;0;0
38533;0;0;0;0;0;0;0
38586;0;0;0;0;0;0;0
38640;0;0;0;0;0;0;0
38693;0;0;0;0;0;0;0
38748;0;0;0;0;0;0;0
38801;0;0;0;0;0;0;0
38855;0;0;0;0;0;0;0
38908;0;0;0;0;0;0;0
38963;0;0;0;0;0;0;0
39016;0;0;0;0;0;0;0
39070;0;0;0;0;0;0;0
39123;0;0;0;0;0;0;0
39180;0;0;0;0;0;0;0
39234;0;0;0;0;0;0;0
39287;0;0;0;0;0;0;0
39342;0;0;0;0;0;0;0
39395;0;0;0;0;0;0;0
39449;0;0;0;0;0;0;0
39502;0;0;0;0;0;0;0
39557;0;0;0;0;0;0;0
39610;0;0;0;0;0;0;0
39664;0;0;0;0;0;0;0
39717;0;0;0;0;0;0;0
39772;0;0;0;0;0;0;0
39825;0;0;0;0;0;0;0
39879;0;0;0;0;0;0;0
39932;0;0;0;0;0;0;0
39986;0;0;0;0;0;0;0
40040;0;0;0;0;0;0;0
40093;0;0;0;0;0;0;0
40147;0;0;0;0;0;0;0
40201;0;0;0;0;0;0;0
40255;0;0;0;0;0;0;0
40308;0;0;0;0;0;0;0
40363;0;0;0;0;0;0;0
40416;0;0;0;0;0;0;0
40470;0;0;0;0;0;0;0
40526;0;0;0;0;0;0;0
40580;0;0;0;0;0;0;0
40634;0;0;0;0;0;0;0
40687;0;0;0;0;0;0;0
40741;0;0;0;0;0;0;0
40795;0;0;0;0;0;0;0
40849;0;0;0;0;0;0;0
40902;0;0;0;0;0;0;0
40956;0;0;0;0;0;0;0
41010;0;0;0;0;0;0;0
41064;0;0;0;0;0;0;0
41117;0;0;0;0;0;0;0
41171;0;0;0;0;0;0;0
41225;2404;0;0;0;2;360;5
41275;0;7;2216;0;11;3472;4
41328;0;13;4512;0;15;5208;5
41382;0;16;5680;0;18;6096;5
41437;0;18;6448;0;19;6672;5
41490;0;19;6840;0;20;6968;5
41544;0;20;7096;0;20;7160;5
